,carat,depth,table,price,x,y,z,Cut_num,Clarity_num,Color_num
87,0.24,60.8,59.0,554,4.02,4.0,2.44,4,7,3
88,0.24,60.7,58.0,554,4.07,4.04,2.46,4,6,3
89,0.32,62.9,58.0,554,4.35,4.33,2.73,4,3,2
90,0.7,62.5,57.0,2757,5.7,5.72,3.57,5,3,6
91,0.86,55.1,69.0,2757,6.45,6.33,3.52,1,2,6
92,0.7,61.6,56.0,2757,5.7,5.67,3.5,5,4,4
93,0.71,62.4,57.0,2759,5.68,5.73,3.56,3,4,6
94,0.78,63.8,56.0,2759,5.81,5.85,3.72,3,2,4
95,0.7,57.5,58.0,2759,5.85,5.9,3.38,2,4,6
96,0.7,59.4,62.0,2759,5.71,5.76,3.4,2,5,5
97,0.96,66.3,62.0,2759,6.27,5.95,4.07,1,2,5
98,0.73,61.6,59.0,2760,5.77,5.78,3.56,3,3,6
99,0.8,61.5,58.0,2760,5.97,5.93,3.66,4,3,3
100,0.75,63.2,56.0,2760,5.8,5.75,3.65,3,3,7
101,0.75,59.9,54.0,2760,6.0,5.96,3.58,4,3,6
102,0.74,61.6,55.0,2760,5.8,5.85,3.59,5,3,4
103,0.75,61.7,58.0,2760,5.85,5.79,3.59,4,4,4
105,0.75,62.2,55.0,2760,5.87,5.8,3.63,5,3,4
106,0.8,63.0,59.0,2760,5.9,5.81,3.69,4,3,4
107,0.74,62.3,55.0,2761,5.77,5.81,3.61,5,6,2
108,0.81,58.8,57.0,2761,6.14,6.11,3.6,5,2,5
109,0.59,62.0,55.0,2761,5.38,5.43,3.35,5,6,6
111,0.74,62.2,56.0,2761,5.8,5.84,3.62,5,2,6
112,0.9,63.0,58.0,2761,6.16,6.12,3.87,4,4,2
113,0.74,62.2,59.0,2762,5.73,5.82,3.59,3,3,4
114,0.73,62.6,56.0,2762,5.77,5.74,3.6,5,4,5
115,0.73,62.7,53.0,2762,5.8,5.75,3.62,5,4,5
117,0.71,62.4,54.0,2762,5.72,5.76,3.58,5,4,4
118,0.7,60.7,58.0,2762,5.73,5.76,3.49,5,4,6
119,0.8,59.9,59.0,2762,6.01,6.07,3.62,5,2,5
121,0.74,62.3,54.0,2762,5.8,5.83,3.62,5,3,6
122,0.7,61.7,63.0,2762,5.64,5.61,3.47,3,4,5
123,0.7,64.5,57.0,2762,5.57,5.53,3.58,1,4,5
124,0.7,65.3,55.0,2762,5.63,5.58,3.66,1,4,5
125,0.7,61.6,60.0,2762,5.65,5.59,3.46,4,4,5
127,0.61,59.6,57.0,2763,5.56,5.58,3.32,3,6,7
128,0.91,64.4,57.0,2763,6.11,6.09,3.93,1,2,3
129,0.91,65.7,60.0,2763,6.03,5.99,3.95,1,2,3
130,0.77,62.0,56.0,2763,5.89,5.86,3.64,5,4,3
132,0.71,61.9,59.0,2764,5.69,5.72,3.53,5,3,7
133,0.7,62.6,60.0,2765,5.62,5.65,3.53,3,4,6
134,0.77,61.3,60.0,2765,5.88,5.9,3.61,3,5,3
135,0.63,60.9,60.0,2765,5.52,5.55,3.37,4,7,6
136,0.71,60.1,62.0,2765,5.74,5.77,3.46,3,5,5
137,0.71,61.8,59.0,2765,5.69,5.73,3.53,4,5,5
138,0.76,61.2,57.0,2765,5.88,5.91,3.61,5,3,3
139,0.64,61.9,56.0,2766,5.53,5.56,3.43,5,7,4
140,0.71,60.9,57.0,2766,5.78,5.75,3.51,4,4,4
141,0.71,59.8,56.0,2766,5.89,5.81,3.5,4,4,4
142,0.7,61.8,55.0,2767,5.68,5.72,3.52,3,4,7
143,0.7,60.0,57.0,2767,5.8,5.87,3.5,3,5,5
144,0.71,61.6,55.0,2767,5.74,5.76,3.54,5,2,7
145,0.7,62.1,64.0,2767,5.62,5.65,3.5,2,6,3
146,0.71,63.3,59.0,2768,5.52,5.61,3.52,3,5,4
147,0.73,60.2,56.0,2768,5.83,5.87,3.52,3,3,7
148,0.7,61.1,58.0,2768,5.66,5.73,3.48,3,3,7
150,0.71,61.7,59.0,2768,5.71,5.67,3.51,4,2,7
151,0.74,61.3,56.0,2769,5.82,5.86,3.57,5,3,2
152,0.71,62.5,60.0,2770,5.65,5.61,3.52,4,4,7
153,0.73,61.4,59.0,2770,5.83,5.76,3.56,4,4,4
154,0.76,62.9,57.0,2770,5.79,5.81,3.65,3,3,5
155,0.76,62.4,57.0,2770,5.78,5.83,3.62,5,2,7
156,0.71,60.7,56.0,2770,5.77,5.8,3.51,5,3,5
157,0.73,60.7,58.0,2770,5.87,5.82,3.55,4,4,4
158,0.73,61.5,58.0,2770,5.79,5.75,3.55,4,5,4
159,0.73,59.9,57.0,2770,5.92,5.89,3.54,5,2,7
161,0.72,60.3,56.0,2771,5.81,5.83,3.51,3,6,3
162,0.73,61.7,60.0,2771,5.79,5.82,3.58,3,3,5
163,0.71,61.9,57.0,2771,5.73,5.77,3.56,5,4,4
164,0.79,61.9,55.0,2771,5.97,5.92,3.68,5,2,5
165,0.73,60.4,59.0,2772,5.83,5.89,3.54,3,7,3
166,0.8,61.0,57.0,2772,6.01,6.03,3.67,3,2,5
167,0.58,61.5,55.0,2772,5.39,5.44,3.33,5,7,4
168,0.58,61.7,56.0,2772,5.33,5.37,3.3,5,7,5
169,0.71,59.2,61.0,2772,5.8,5.88,3.46,2,4,6
170,0.75,61.3,56.0,2773,5.85,5.89,3.6,5,2,7
171,0.7,58.0,62.0,2773,5.87,5.78,3.38,4,4,7
172,1.17,60.2,61.0,2774,6.83,6.9,4.13,3,1,1
173,0.6,61.7,55.0,2774,5.41,5.44,3.35,5,5,6
174,0.7,62.7,55.0,2774,5.68,5.74,3.58,5,3,6
175,0.83,64.6,54.0,2774,5.85,5.88,3.79,2,4,2
176,0.74,61.3,61.0,2775,5.8,5.84,3.57,3,4,5
177,0.72,63.7,56.4,2776,5.62,5.69,3.61,3,4,4
178,0.71,62.7,58.0,2776,5.74,5.68,3.58,4,4,6
179,0.71,62.2,57.0,2776,5.79,5.62,3.55,5,4,6
180,0.54,61.6,56.0,2776,5.25,5.27,3.24,5,6,6
181,0.54,61.5,57.0,2776,5.24,5.26,3.23,5,6,6
182,0.72,61.8,56.0,2776,5.72,5.75,3.55,5,3,4
183,0.72,60.7,56.0,2776,5.79,5.82,3.53,5,3,4
184,0.72,59.7,60.5,2776,5.8,5.84,3.47,2,4,4
185,0.71,60.5,56.0,2776,5.8,5.76,3.5,5,3,4
186,0.7,62.7,58.0,2777,5.66,5.73,3.57,3,5,7
187,0.71,62.1,58.0,2777,5.67,5.7,3.53,4,4,5
189,0.71,63.8,58.0,2777,5.61,5.64,3.59,2,4,5
190,0.71,57.8,60.0,2777,5.87,5.9,3.4,2,4,5
191,0.7,62.1,55.0,2777,5.7,5.67,3.53,5,4,6
192,0.7,61.1,60.0,2777,5.71,5.64,3.47,4,4,6
193,0.7,60.0,59.0,2777,5.79,5.75,3.46,4,3,6
194,0.7,61.2,57.0,2777,5.73,5.68,3.49,4,3,6
195,0.7,62.7,59.0,2777,5.67,5.63,3.54,4,3,6
196,0.7,61.0,57.0,2777,5.73,5.68,3.48,4,3,6
197,0.7,61.0,58.0,2777,5.78,5.72,3.51,4,3,6
198,0.7,61.4,57.0,2777,5.76,5.7,3.52,5,3,6
199,0.72,61.8,61.0,2777,5.82,5.71,3.56,4,3,5
200,0.7,59.9,63.0,2777,5.76,5.7,3.43,3,3,6
201,0.7,61.3,58.0,2777,5.71,5.68,3.49,4,3,6
202,0.7,60.5,58.0,2777,5.77,5.74,3.48,4,3,6
203,0.7,64.1,59.0,2777,5.64,5.59,3.6,2,4,6
204,0.98,67.9,60.0,2777,6.05,5.97,4.08,1,2,3
205,0.78,62.4,58.0,2777,5.83,5.8,3.63,4,3,5
206,0.7,63.2,60.0,2777,5.6,5.51,3.51,3,3,6
207,0.52,61.3,55.0,2778,5.19,5.22,3.19,5,7,5
208,0.73,60.8,56.0,2779,5.82,5.84,3.55,3,4,3
209,0.74,61.7,56.0,2779,5.84,5.8,3.59,5,3,6
210,0.7,63.6,57.0,2780,5.61,5.65,3.58,3,4,5
211,0.77,61.2,58.0,2780,5.9,5.93,3.62,4,4,4
212,0.71,62.1,54.0,2780,5.68,5.72,3.54,5,4,5
213,0.74,61.5,55.0,2780,5.81,5.86,3.59,5,5,4
214,0.7,61.4,59.0,2780,5.64,5.73,3.49,5,5,4
215,1.01,61.8,60.0,2781,6.39,6.36,3.94,4,1,5
216,0.77,62.2,56.0,2781,5.83,5.88,3.64,5,3,3
217,0.78,61.2,56.0,2781,5.92,5.99,3.64,5,3,3
218,0.72,60.6,63.0,2782,5.83,5.76,3.51,3,5,3
219,0.53,57.5,64.0,2782,5.34,5.37,3.08,3,6,7
220,0.76,61.3,56.0,2782,5.9,5.94,3.63,5,4,4
221,0.7,57.2,62.0,2782,5.81,5.77,3.31,2,5,6
222,0.7,62.9,60.0,2782,5.62,5.54,3.51,4,5,6
223,0.75,63.1,58.0,2782,5.78,5.73,3.63,3,2,7
224,0.72,60.8,57.0,2782,5.76,5.75,3.5,5,3,7
225,0.72,62.7,59.0,2782,5.73,5.69,3.58,4,3,7
226,0.7,62.8,60.0,2782,5.68,5.66,3.56,4,3,7
227,0.84,55.1,67.0,2782,6.39,6.2,3.47,1,3,4
228,0.75,61.4,59.0,2782,5.88,5.85,3.6,4,3,5
229,0.52,62.2,55.0,2783,5.14,5.18,3.21,5,8,5
230,0.72,63.0,54.0,2784,5.69,5.73,3.6,3,4,5
231,0.79,63.7,56.0,2784,5.85,5.92,3.75,3,5,3
232,0.72,63.6,58.0,2787,5.66,5.69,3.61,3,4,5
233,0.51,62.0,57.0,2787,5.11,5.15,3.18,5,7,5
234,0.64,61.5,56.0,2787,5.54,5.55,3.41,5,5,7
235,0.7,60.5,60.0,2788,5.74,5.77,3.48,3,7,3
236,0.83,61.1,60.0,2788,6.07,6.1,3.72,3,5,2
237,0.76,61.8,56.0,2788,5.85,5.87,3.62,5,6,2
238,0.71,63.3,56.0,2788,5.64,5.68,3.58,2,4,7
239,0.77,59.4,64.0,2788,5.97,5.92,3.53,2,5,4
240,0.71,62.5,55.0,2788,5.71,5.65,3.55,5,3,5
241,1.01,64.5,58.0,2788,6.29,6.21,4.03,1,1,6
242,1.01,62.7,59.0,2788,6.31,6.22,3.93,4,2,3
243,0.77,64.2,52.0,2789,5.81,5.77,3.72,2,3,5
244,0.76,63.7,54.0,2789,5.76,5.85,3.7,2,3,6
245,0.76,60.4,58.0,2789,5.92,5.94,3.58,4,3,6
246,0.76,61.8,58.0,2789,5.82,5.86,3.61,4,3,6
247,1.05,63.2,56.0,2789,6.49,6.45,4.09,3,2,1
248,0.81,61.6,56.0,2789,5.97,6.01,3.69,5,2,4
249,0.7,61.6,56.0,2789,5.72,5.75,3.53,5,3,6
250,0.55,60.9,57.0,2789,5.28,5.3,3.22,5,8,4
251,0.81,61.0,61.0,2789,5.94,5.99,3.64,2,2,4
252,0.63,62.1,57.0,2789,5.48,5.41,3.38,4,6,6
253,0.63,60.9,60.0,2789,5.55,5.52,3.37,4,7,6
254,0.77,61.3,60.0,2789,5.9,5.88,3.61,4,5,3
255,1.05,65.8,59.0,2789,6.41,6.27,4.18,1,2,1
256,0.64,61.3,56.0,2790,5.54,5.58,3.41,5,8,4
257,0.76,58.8,59.0,2790,6.0,5.94,3.51,4,7,2
258,0.83,62.3,55.0,2790,6.02,6.05,3.76,5,2,5
259,0.71,60.1,62.0,2790,5.77,5.74,3.46,4,5,5
260,0.71,61.8,59.0,2790,5.73,5.69,3.53,4,5,5
261,0.87,63.6,55.8,2791,6.07,6.1,3.87,3,3,2
262,0.73,62.2,56.0,2791,5.74,5.78,3.58,5,3,6
263,0.71,59.2,59.0,2792,5.83,5.86,3.46,4,3,6
264,0.71,61.8,59.0,2792,5.7,5.75,3.54,4,3,6
265,0.71,61.3,55.0,2792,5.72,5.77,3.52,5,3,6
266,0.7,62.1,60.0,2792,5.71,5.65,3.53,4,5,5
267,0.7,60.7,60.0,2792,5.78,5.75,3.5,4,5,5
268,0.76,59.6,57.0,2792,5.91,5.86,3.51,4,6,3
269,0.7,62.2,56.0,2792,5.73,5.68,3.55,5,5,5
270,0.79,60.6,57.0,2793,5.98,6.06,3.65,3,3,4
271,0.7,62.9,57.0,2793,5.66,5.69,3.57,3,4,6
272,0.7,64.1,55.0,2793,5.6,5.66,3.61,2,4,6
273,0.76,61.3,56.0,2793,5.87,5.91,3.61,5,4,2
274,0.73,62.7,55.0,2793,5.72,5.76,3.6,5,4,3
275,0.79,63.2,56.0,2794,5.91,5.86,3.72,3,3,6
276,0.71,60.7,56.0,2795,5.81,5.82,3.53,3,4,6
277,0.81,61.9,60.0,2795,5.91,5.86,3.64,4,6,2
278,0.81,62.6,55.0,2795,5.92,5.96,3.72,5,2,5
279,0.72,60.7,60.0,2795,5.74,5.72,3.48,2,5,5
280,0.72,62.0,60.0,2795,5.73,5.69,3.54,4,2,7
281,0.72,63.0,57.0,2795,5.72,5.7,3.6,4,8,2
282,0.81,58.0,59.0,2795,6.17,6.13,3.57,4,4,3
283,0.72,62.9,57.0,2795,5.73,5.65,3.58,4,4,4
284,1.0,58.2,60.0,2795,6.61,6.55,3.83,4,2,2
285,0.73,63.2,58.0,2796,5.7,5.76,3.62,2,3,6
286,0.81,61.3,59.0,2797,5.94,6.01,3.66,3,2,3
288,0.71,62.7,60.0,2797,5.67,5.71,3.57,4,3,7
289,0.71,61.3,58.0,2797,5.73,5.75,3.52,4,3,7
290,0.71,61.6,60.0,2797,5.74,5.69,3.52,4,3,7
291,0.57,61.9,55.0,2797,5.34,5.35,3.31,5,6,5
292,0.51,61.7,56.0,2797,5.12,5.16,3.17,5,7,7
293,0.72,61.9,58.0,2797,5.72,5.75,3.55,5,4,4
294,0.74,61.8,58.0,2797,5.77,5.81,3.58,5,5,3
295,0.74,61.6,56.0,2797,5.81,5.82,3.58,5,5,3
296,0.7,58.8,66.0,2797,5.81,5.9,3.44,1,7,4
297,0.8,61.0,57.0,2797,6.03,6.01,3.67,4,2,5
298,1.01,67.4,60.0,2797,6.19,6.05,4.13,1,2,6
299,0.8,63.4,60.0,2797,5.92,5.82,3.72,3,4,3
301,0.83,58.0,62.0,2799,6.19,6.25,3.61,3,2,6
303,0.78,61.9,57.0,2799,5.91,5.86,3.64,5,3,7
304,0.6,61.6,56.0,2800,5.43,5.46,3.35,3,8,4
305,0.9,62.2,59.0,2800,6.07,6.11,3.79,2,2,2
306,0.7,62.2,58.0,2800,5.6,5.66,3.5,4,5,6
307,0.9,61.3,56.0,2800,6.17,6.23,3.8,3,2,2
308,0.83,62.3,57.0,2800,5.99,6.08,3.76,5,3,4
309,0.83,61.8,57.0,2800,6.03,6.07,3.74,5,3,4
310,0.83,62.5,59.0,2800,5.95,6.02,3.74,3,3,3
312,0.79,61.8,59.0,2800,5.92,5.95,3.67,5,5,2
313,0.61,62.3,56.0,2800,5.43,5.45,3.39,5,8,4
314,0.76,59.0,70.0,2800,5.89,5.8,3.46,1,5,4
315,0.96,60.7,55.0,2801,6.37,6.41,3.88,5,1,5
316,0.73,62.5,55.0,2801,5.8,5.76,3.61,5,4,5
317,0.73,62.7,58.0,2801,5.76,5.7,3.59,4,4,5
318,0.75,60.4,57.0,2801,5.93,5.96,3.59,5,3,3
319,0.71,62.1,58.0,2801,5.7,5.67,3.53,4,4,5
320,0.71,57.8,60.0,2801,5.9,5.87,3.4,2,4,5
321,0.71,63.8,58.0,2801,5.64,5.61,3.59,2,4,5
322,0.71,62.8,57.0,2801,5.69,5.64,3.56,4,4,5
323,1.04,62.2,58.0,2801,6.46,6.41,4.0,4,1,4
324,1.0,62.3,58.0,2801,6.45,6.34,3.98,4,2,1
325,0.87,59.9,58.0,2802,6.19,6.23,3.72,3,2,4
326,0.53,61.9,54.0,2802,5.22,5.25,3.24,5,8,5
327,0.72,63.0,55.0,2802,5.79,5.61,3.59,4,4,6
328,0.72,62.4,58.0,2802,5.83,5.7,3.6,4,5,5
329,0.7,62.9,58.0,2803,5.63,5.65,3.55,3,4,5
330,0.74,63.5,56.0,2803,5.74,5.79,3.66,3,3,6
331,0.71,61.3,56.0,2803,5.75,5.71,3.51,5,4,4
332,0.73,60.6,54.0,2803,5.84,5.89,3.55,5,3,6
333,0.7,65.1,58.0,2803,5.56,5.59,3.63,2,5,4
334,0.71,62.6,58.0,2803,5.7,5.67,3.56,4,4,5
335,0.71,58.0,62.0,2803,5.85,5.81,3.38,4,4,5
336,0.71,62.4,61.0,2803,5.7,5.65,3.54,4,5,4
337,0.77,61.3,57.0,2803,5.93,5.88,3.62,4,4,4
338,0.71,59.9,60.0,2803,5.81,5.77,3.47,4,4,4
339,0.78,60.8,58.0,2803,6.03,5.95,3.64,4,4,4
341,0.91,62.2,57.0,2803,6.21,6.15,3.85,5,2,7
342,0.71,63.8,58.0,2804,5.62,5.66,3.6,3,4,6
343,0.71,64.0,57.0,2804,5.66,5.68,3.63,3,4,6
344,0.8,62.5,56.0,2804,5.88,5.96,3.7,3,2,6
346,0.72,61.7,57.0,2804,5.74,5.77,3.55,5,5,5
347,0.72,62.2,58.0,2804,5.75,5.7,3.56,3,5,5
348,0.82,61.5,56.0,2804,6.01,6.08,3.72,5,4,3
349,0.7,61.0,59.0,2804,5.68,5.7,3.47,5,3,7
350,0.72,62.2,56.0,2804,5.74,5.77,3.58,5,3,7
351,0.72,61.5,54.0,2804,5.77,5.8,3.56,5,3,7
352,0.9,67.3,59.0,2804,5.93,5.84,3.96,1,3,2
353,0.74,61.7,58.0,2805,5.85,5.78,3.59,4,4,5
354,0.74,61.9,56.0,2805,5.8,5.77,3.58,4,4,5
355,0.73,61.8,58.0,2805,5.77,5.81,3.58,5,2,6
357,0.73,62.5,57.0,2805,5.75,5.7,3.58,4,4,5
358,0.72,62.8,56.0,2805,5.74,5.7,3.59,5,4,4
359,0.74,61.1,68.0,2805,5.82,5.75,3.53,1,4,5
360,0.82,64.0,57.0,2805,5.92,5.89,3.78,2,4,4
361,0.81,62.5,60.0,2806,5.89,5.94,3.69,3,3,4
362,0.75,60.6,58.0,2806,5.85,5.9,3.56,3,7,3
363,0.7,61.6,55.0,2806,5.72,5.74,3.53,5,3,5
364,0.71,62.2,58.0,2807,5.66,5.72,3.54,3,5,5
365,0.71,60.0,57.0,2807,5.84,5.9,3.52,3,5,5
366,0.93,61.9,57.0,2807,6.21,6.19,3.84,4,2,1
367,0.8,62.8,57.0,2808,5.87,5.91,3.7,3,4,3
368,0.7,62.0,57.0,2808,5.64,5.71,3.52,3,5,5
369,1.0,66.4,59.0,2808,6.16,6.09,4.07,1,1,4
370,0.75,63.4,56.0,2808,5.78,5.74,3.65,3,4,4
371,0.58,60.9,56.0,2808,5.41,5.43,3.3,5,6,6
373,0.81,63.1,59.0,2809,5.85,5.79,3.67,3,3,5
374,0.81,59.2,57.0,2809,6.15,6.05,3.61,4,2,7
375,0.71,60.7,54.0,2809,5.84,5.8,3.53,4,3,5
376,1.2,64.6,56.0,2809,6.73,6.66,4.33,1,1,5
377,0.7,61.8,56.0,2810,5.63,5.7,3.5,3,5,5
378,0.7,59.9,60.0,2810,5.77,5.84,3.48,3,5,5
379,0.74,61.7,55.0,2810,5.81,5.85,3.6,5,2,7
380,0.7,62.8,61.0,2810,5.57,5.61,3.51,2,5,5
381,0.8,62.7,57.0,2810,5.84,5.93,3.69,2,3,4
382,0.75,63.4,58.0,2811,5.72,5.76,3.64,3,3,5
383,0.83,63.5,54.0,2811,5.98,5.95,3.79,3,3,7
384,1.0,65.7,59.0,2811,6.14,6.07,4.01,1,4,1
385,0.99,68.1,56.0,2811,6.21,6.06,4.18,1,2,2
386,0.7,63.0,60.0,2812,5.57,5.64,3.53,3,5,4
387,0.7,59.5,58.0,2812,5.75,5.85,3.45,3,4,5
388,0.7,63.5,59.0,2812,5.49,5.53,3.5,2,3,6
389,0.7,61.7,58.0,2812,5.63,5.69,3.49,3,4,5
390,0.32,62.7,58.0,554,4.37,4.34,2.73,4,3,2
391,0.32,62.8,58.0,554,4.39,4.34,2.74,4,3,2
392,0.32,62.4,57.0,554,4.37,4.35,2.72,5,3,2
393,0.32,61.0,59.0,554,4.39,4.36,2.67,4,3,2
394,0.32,63.1,56.0,554,4.39,4.36,2.76,3,3,2
395,0.32,60.7,57.0,554,4.47,4.42,2.7,5,3,2
396,0.3,60.9,59.0,554,4.31,4.29,2.62,4,3,3
397,0.3,60.1,55.0,554,4.41,4.38,2.64,4,3,3
398,0.3,62.9,58.0,554,4.28,4.24,2.68,4,3,3
399,0.3,63.3,56.0,554,4.29,4.27,2.71,3,3,3
400,0.3,63.8,55.0,554,4.26,4.2,2.7,2,3,3
401,0.3,62.9,57.0,554,4.27,4.22,2.67,5,3,3
402,0.3,63.4,60.0,554,4.25,4.23,2.69,3,3,3
403,0.32,63.9,55.0,554,4.36,4.34,2.78,2,3,2
404,0.33,61.4,56.0,554,4.85,4.79,2.95,5,2,3
405,0.29,61.9,55.0,555,4.28,4.33,2.66,3,5,6
406,0.29,62.4,55.0,555,4.2,4.25,2.63,3,5,6
407,0.31,61.8,58.0,555,4.32,4.35,2.68,3,3,5
408,0.34,61.5,56.0,555,4.47,4.5,2.76,5,4,3
409,0.34,60.4,57.0,555,4.54,4.57,2.75,5,4,3
410,0.34,61.8,55.0,555,4.48,4.52,2.78,5,5,2
411,0.34,62.0,56.0,555,4.5,4.53,2.8,5,5,2
412,0.3,62.3,56.0,555,4.29,4.31,2.68,5,5,4
413,0.29,61.6,56.0,555,4.26,4.31,2.64,5,5,5
414,0.35,60.6,56.0,555,4.56,4.58,2.77,5,3,4
415,0.43,58.4,62.0,555,4.94,5.0,2.9,3,1,6
416,0.32,61.4,58.0,556,4.37,4.42,2.7,3,4,5
417,0.36,61.9,56.0,556,4.54,4.57,2.82,5,4,2
418,0.3,62.0,56.0,556,4.28,4.3,2.66,5,4,4
419,0.26,61.5,57.0,556,4.09,4.12,2.52,5,5,6
